Sum of  count,Column Labels,,,,,
Row Labels,bronze,closed,gold,green,hybrid,Grand Total
2000,12.95%,77.77%,1.09%,5.94%,2.24%,100.00%
2001,13.91%,75.80%,1.49%,6.06%,2.74%,100.00%
2002,12.34%,76.95%,1.08%,7.42%,2.23%,100.00%
2003,12.58%,75.00%,1.78%,7.76%,2.87%,100.00%
2004,13.98%,73.21%,1.97%,7.91%,2.92%,100.00%
2005,13.64%,72.38%,2.48%,8.55%,2.95%,100.00%
2006,13.02%,71.56%,2.99%,9.41%,3.02%,100.00%
2007,13.64%,69.75%,3.57%,9.69%,3.35%,100.00%
2008,13.07%,67.25%,6.18%,10.22%,3.28%,100.00%
2009,12.53%,64.86%,8.00%,10.94%,3.67%,100.00%
2010,13.05%,62.41%,7.45%,13.00%,4.09%,100.00%
2011,12.59%,59.77%,9.01%,13.98%,4.64%,100.00%
2012,12.59%,58.02%,11.20%,13.05%,5.13%,100.00%
2013,12.10%,55.29%,12.53%,13.52%,6.56%,100.00%
2014,11.56%,52.41%,14.63%,13.75%,7.64%,100.00%
2015,12.34%,49.65%,16.12%,13.57%,8.32%,100.00%
2016,16.27%,44.43%,16.09%,13.26%,9.95%,100.00%
2017,12.77%,41.44%,19.23%,14.68%,11.88%,100.00%
2018,13.27%,37.19%,19.83%,14.53%,15.18%,100.00%
2019,10.42%,33.57%,22.79%,14.94%,18.28%,100.00%
2020,8.08%,26.52%,25.64%,15.70%,24.05%,100.00%
2021,6.13%,21.93%,28.18%,16.40%,27.36%,100.00%
2022,4.88%,19.21%,30.26%,14.29%,31.36%,100.00%
2023,8.28%,22.74%,27.54%,8.95%,32.48%,100.00%
Grand Total,11.21%,46.64%,16.10%,12.64%,13.41%,100.00%
